	# GEO Accession	Sample Name	Experiment	NA Accession	Center	SRA Run Selector	GEO FTP	Embargo end date	SRR	modus
283	GSM1010942	sigmoid colon	mRNA-Seq	NA000020382.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190114	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010942/suppl/	2014-04-15	SRR651669	PAIRED
283	GSM1010942	sigmoid colon	mRNA-Seq	NA000020382.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190114	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010942/suppl/	2014-04-15	SRR651670	PAIRED
283	GSM1010942	sigmoid colon	mRNA-Seq	NA000020382.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190114	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010942/suppl/	2014-04-15	SRR651671	PAIRED
283	GSM1010942	sigmoid colon	mRNA-Seq	NA000020382.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190114	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010942/suppl/	2014-04-15	SRR651672	PAIRED
284	GSM1010944	thymus	mRNA-Seq	NA000020383.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190116	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010944/suppl/	2014-04-15	SRR651673	PAIRED
284	GSM1010944	thymus	mRNA-Seq	NA000020383.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190116	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010944/suppl/	2014-04-15	SRR651674	PAIRED
284	GSM1010944	thymus	mRNA-Seq	NA000020383.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190116	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010944/suppl/	2014-04-15	SRR651675	PAIRED
284	GSM1010944	thymus	mRNA-Seq	NA000020383.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190116	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010944/suppl/	2014-04-15	SRR651676	PAIRED
284	GSM1010944	thymus	mRNA-Seq	NA000020383.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190116	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010944/suppl/	2014-04-15	SRR651677	PAIRED
284	GSM1010944	thymus	mRNA-Seq	NA000020383.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190116	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010944/suppl/	2014-04-15	SRR651678	PAIRED
285	GSM1010946	lung	mRNA-Seq	NA000020384.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190118	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010946/suppl/	2014-04-15	SRR577579	PAIRED
285	GSM1010946	lung	mRNA-Seq	NA000020384.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190118	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010946/suppl/	2014-04-15	SRR577580	PAIRED
285	GSM1010946	lung	mRNA-Seq	NA000020384.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190118	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010946/suppl/	2014-04-15	SRR577581	PAIRED
285	GSM1010946	lung	mRNA-Seq	NA000020384.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190118	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010946/suppl/	2014-04-15	SRR577582	PAIRED
286	GSM1010948	ovary	mRNA-Seq	NA000018383.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190120	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010948/suppl/	2014-04-15	SRR578639	PAIRED
286	GSM1010948	ovary	mRNA-Seq	NA000018383.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190120	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010948/suppl/	2014-04-15	SRR578640	PAIRED
286	GSM1010948	ovary	mRNA-Seq	NA000018383.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190120	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010948/suppl/	2014-04-15	SRR578641	PAIRED
286	GSM1010948	ovary	mRNA-Seq	NA000018383.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190120	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010948/suppl/	2014-04-15	SRR578642	PAIRED
287	GSM1010950	adrenal gland	mRNA-Seq	NA000020385.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190122	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010950/suppl/	2014-04-15	SRR578643	PAIRED
287	GSM1010950	adrenal gland	mRNA-Seq	NA000020385.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190122	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010950/suppl/	2014-04-15	SRR578644	PAIRED
287	GSM1010950	adrenal gland	mRNA-Seq	NA000020385.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190122	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010950/suppl/	2014-04-15	SRR578645	PAIRED
287	GSM1010950	adrenal gland	mRNA-Seq	NA000020385.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190122	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010950/suppl/	2014-04-15	SRR578646	PAIRED
287	GSM1010950	adrenal gland	mRNA-Seq	NA000020385.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190122	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010950/suppl/	2014-04-15	SRR651679	PAIRED
287	GSM1010950	adrenal gland	mRNA-Seq	NA000020385.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190122	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010950/suppl/	2014-04-15	SRR651680	PAIRED
287	GSM1010950	adrenal gland	mRNA-Seq	NA000020385.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190122	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010950/suppl/	2014-04-15	SRR651681	PAIRED
287	GSM1010950	adrenal gland	mRNA-Seq	NA000020385.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190122	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010950/suppl/	2014-04-15	SRR651682	PAIRED
288	GSM1010952	heart, aorta	mRNA-Seq	NA000020386.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190124	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010952/suppl/	2014-04-15	SRR596098	PAIRED
288	GSM1010952	heart, aorta	mRNA-Seq	NA000020386.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190124	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010952/suppl/	2014-04-15	SRR596099	PAIRED
288	GSM1010952	heart, aorta	mRNA-Seq	NA000020386.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190124	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010952/suppl/	2014-04-15	SRR596100	PAIRED
288	GSM1010952	heart, aorta	mRNA-Seq	NA000020386.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190124	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010952/suppl/	2014-04-15	SRR596101	PAIRED
288	GSM1010952	heart, aorta	mRNA-Seq	NA000020386.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190124	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010952/suppl/	2014-04-15	SRR651683	PAIRED
288	GSM1010952	heart, aorta	mRNA-Seq	NA000020386.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190124	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010952/suppl/	2014-04-15	SRR651684	PAIRED
288	GSM1010952	heart, aorta	mRNA-Seq	NA000020386.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190124	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010952/suppl/	2014-04-15	SRR651685	PAIRED
288	GSM1010952	heart, aorta	mRNA-Seq	NA000020386.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190124	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010952/suppl/	2014-04-15	SRR651686	PAIRED
289	GSM1010956	esophagus	mRNA-Seq	NA000020387.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190128	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010956/suppl/	2014-04-15	SRR596102	PAIRED
289	GSM1010956	esophagus	mRNA-Seq	NA000020387.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190128	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010956/suppl/	2014-04-15	SRR596103	PAIRED
289	GSM1010956	esophagus	mRNA-Seq	NA000020387.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190128	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010956/suppl/	2014-04-15	SRR596104	PAIRED
289	GSM1010956	esophagus	mRNA-Seq	NA000020387.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190128	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010956/suppl/	2014-04-15	SRR596105	PAIRED
289	GSM1010956	esophagus	mRNA-Seq	NA000020387.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190128	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010956/suppl/	2014-04-15	SRR651687	PAIRED
289	GSM1010956	esophagus	mRNA-Seq	NA000020387.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190128	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010956/suppl/	2014-04-15	SRR651688	PAIRED
289	GSM1010956	esophagus	mRNA-Seq	NA000020387.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190128	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010956/suppl/	2014-04-15	SRR651689	PAIRED
290	GSM1010958	adipose	mRNA-Seq	NA000020388.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190130	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010958/suppl/	2014-04-15	SRR578647	PAIRED
290	GSM1010958	adipose	mRNA-Seq	NA000020388.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190130	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010958/suppl/	2014-04-15	SRR578648	PAIRED
290	GSM1010958	adipose	mRNA-Seq	NA000020388.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190130	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010958/suppl/	2014-04-15	SRR578649	PAIRED
290	GSM1010958	adipose	mRNA-Seq	NA000020388.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190130	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010958/suppl/	2014-04-15	SRR578650	PAIRED
290	GSM1010958	adipose	mRNA-Seq	NA000020388.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190130	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010958/suppl/	2014-04-15	SRR651691	PAIRED
291	GSM1010960	gastric	mRNA-Seq	NA000020389.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190132	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010960/suppl/	2014-04-15	SRR577583	PAIRED
291	GSM1010960	gastric	mRNA-Seq	NA000020389.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190132	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010960/suppl/	2014-04-15	SRR577584	PAIRED
291	GSM1010960	gastric	mRNA-Seq	NA000020389.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190132	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010960/suppl/	2014-04-15	SRR577585	PAIRED
291	GSM1010960	gastric	mRNA-Seq	NA000020389.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190132	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010960/suppl/	2014-04-15	SRR577586	PAIRED
292	GSM1010964	heart, left ventricle	mRNA-Seq	NA000020390.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190136	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010964/suppl/	2014-04-15	SRR577587	PAIRED
292	GSM1010964	heart, left ventricle	mRNA-Seq	NA000020390.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190136	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010964/suppl/	2014-04-15	SRR577588	PAIRED
292	GSM1010964	heart, left ventricle	mRNA-Seq	NA000020390.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190136	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010964/suppl/	2014-04-15	SRR577589	PAIRED
292	GSM1010964	heart, left ventricle	mRNA-Seq	NA000020390.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190136	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010964/suppl/	2014-04-15	SRR577590	PAIRED
293	GSM1010966	pancreas	mRNA-Seq	NA000020391.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190138	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010966/suppl/	2014-04-15	SRR596106	PAIRED
293	GSM1010966	pancreas	mRNA-Seq	NA000020391.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190138	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010966/suppl/	2014-04-15	SRR596107	PAIRED
293	GSM1010966	pancreas	mRNA-Seq	NA000020391.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190138	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010966/suppl/	2014-04-15	SRR596108	PAIRED
293	GSM1010966	pancreas	mRNA-Seq	NA000020391.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190138	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010966/suppl/	2014-04-15	SRR596109	PAIRED
293	GSM1010966	pancreas	mRNA-Seq	NA000020391.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190138	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010966/suppl/	2014-04-15	SRR651695	PAIRED
293	GSM1010966	pancreas	mRNA-Seq	NA000020391.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190138	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010966/suppl/	2014-04-15	SRR651696	PAIRED
293	GSM1010966	pancreas	mRNA-Seq	NA000020391.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190138	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010966/suppl/	2014-04-15	SRR651697	PAIRED
293	GSM1010966	pancreas	mRNA-Seq	NA000020391.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190138	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010966/suppl/	2014-04-15	SRR651698	PAIRED
294	GSM1010968	psoas muscle	mRNA-Seq	NA000020392.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190140	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010968/suppl/	2014-04-15	SRR651699	PAIRED
294	GSM1010968	psoas muscle	mRNA-Seq	NA000020392.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190140	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010968/suppl/	2014-04-15	SRR651700	PAIRED
294	GSM1010968	psoas muscle	mRNA-Seq	NA000020392.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190140	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010968/suppl/	2014-04-15	SRR651701	PAIRED
294	GSM1010968	psoas muscle	mRNA-Seq	NA000020392.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190140	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010968/suppl/	2014-04-15	SRR651702	PAIRED
294	GSM1010968	psoas muscle	mRNA-Seq	NA000020392.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190140	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010968/suppl/	2014-04-15	SRR651703	PAIRED
294	GSM1010968	psoas muscle	mRNA-Seq	NA000020392.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190140	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010968/suppl/	2014-04-15	SRR651704	PAIRED
295	GSM1010970	heart, right atrium	mRNA-Seq	NA000020393.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190142	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010970/suppl/	2014-04-15	SRR578651	PAIRED
295	GSM1010970	heart, right atrium	mRNA-Seq	NA000020393.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190142	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010970/suppl/	2014-04-15	SRR578652	PAIRED
295	GSM1010970	heart, right atrium	mRNA-Seq	NA000020393.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190142	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010970/suppl/	2014-04-15	SRR578653	PAIRED
295	GSM1010970	heart, right atrium	mRNA-Seq	NA000020393.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190142	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010970/suppl/	2014-04-15	SRR578654	PAIRED
295	GSM1010970	heart, right atrium	mRNA-Seq	NA000020393.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190142	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010970/suppl/	2014-04-15	SRR651705	PAIRED
295	GSM1010970	heart, right atrium	mRNA-Seq	NA000020393.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190142	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010970/suppl/	2014-04-15	SRR651706	PAIRED
295	GSM1010970	heart, right atrium	mRNA-Seq	NA000020393.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190142	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010970/suppl/	2014-04-15	SRR651707	PAIRED
295	GSM1010970	heart, right atrium	mRNA-Seq	NA000020393.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190142	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010970/suppl/	2014-04-15	SRR651708	PAIRED
296	GSM1010972	heart, right ventricle	mRNA-Seq	NA000020394.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190144	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010972/suppl/	2014-04-15	SRR577591	PAIRED
296	GSM1010972	heart, right ventricle	mRNA-Seq	NA000020394.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190144	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010972/suppl/	2014-04-15	SRR577592	PAIRED
296	GSM1010972	heart, right ventricle	mRNA-Seq	NA000020394.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190144	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010972/suppl/	2014-04-15	SRR577593	PAIRED
296	GSM1010972	heart, right ventricle	mRNA-Seq	NA000020394.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190144	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010972/suppl/	2014-04-15	SRR577594	PAIRED
297	GSM1010974	sigmoid colon	mRNA-Seq	NA000020395.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190146	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010974/suppl/	2014-04-15	SRR577595	PAIRED
297	GSM1010974	sigmoid colon	mRNA-Seq	NA000020395.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190146	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010974/suppl/	2014-04-15	SRR577596	PAIRED
297	GSM1010974	sigmoid colon	mRNA-Seq	NA000020395.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190146	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010974/suppl/	2014-04-15	SRR577597	PAIRED
297	GSM1010974	sigmoid colon	mRNA-Seq	NA000020395.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190146	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010974/suppl/	2014-04-15	SRR577598	PAIRED
298	GSM1010976	spleen	mRNA-Seq	NA000020396.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190148	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010976/suppl/	2014-04-15	SRR577599	PAIRED
298	GSM1010976	spleen	mRNA-Seq	NA000020396.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190148	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010976/suppl/	2014-04-15	SRR577600	PAIRED
298	GSM1010976	spleen	mRNA-Seq	NA000020396.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190148	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010976/suppl/	2014-04-15	SRR577601	PAIRED
298	GSM1010976	spleen	mRNA-Seq	NA000020396.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190148	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010976/suppl/	2014-04-15	SRR577602	PAIRED
299	GSM1010978	heart, left ventricle	Bisulfite-Seq	NA000020397.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190150	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010978/suppl/	2014-06-18	SRR577603	SINGLE
299	GSM1010978	heart, left ventricle	Bisulfite-Seq	NA000020397.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190150	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010978/suppl/	2014-06-18	SRR577604	SINGLE
299	GSM1010978	heart, left ventricle	Bisulfite-Seq	NA000020397.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190150	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010978/suppl/	2014-06-18	SRR577605	SINGLE
299	GSM1010978	heart, left ventricle	Bisulfite-Seq	NA000020397.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190150	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010978/suppl/	2014-06-18	SRR578655	SINGLE
299	GSM1010978	heart, left ventricle	Bisulfite-Seq	NA000020397.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190150	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010978/suppl/	2014-06-18	SRR578656	SINGLE
299	GSM1010978	heart, left ventricle	Bisulfite-Seq	NA000020397.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190150	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010978/suppl/	2014-06-18	SRR616045	SINGLE
299	GSM1010978	heart, left ventricle	Bisulfite-Seq	NA000020397.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190150	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010978/suppl/	2014-06-18	SRR617814	SINGLE
299	GSM1010978	heart, left ventricle	Bisulfite-Seq	NA000020397.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190150	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010978/suppl/	2014-06-18	SRR617815	SINGLE
299	GSM1010978	heart, left ventricle	Bisulfite-Seq	NA000020397.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190150	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010978/suppl/	2014-06-18	SRR617816	SINGLE
299	GSM1010978	heart, left ventricle	Bisulfite-Seq	NA000020397.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190150	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010978/suppl/	2014-06-18	SRR617817	SINGLE
299	GSM1010978	heart, left ventricle	Bisulfite-Seq	NA000020397.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX190150	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1010nnn/GSM1010978/suppl/	2014-06-18	SRR617818	SINGLE
